#  1  ID               [INTEGER]
#  2  programId        [INTEGER]
#  3  objId            [INTEGER]
#  4  RA               [FLOAT]
#  5  DEC              [FLOAT]
#  6  tract            [INTEGER]
#  7  patch            [VARCHAR]
#  8  Priority         [INTEGER]
#  9  targetType       [INTEGER]
# 10  catId            [INTEGER]
# 11  catObjId         [INTEGER]
# 12  fiberMag_g       [FLOAT]
# 13  fiberMag_r       [FLOAT]
# 14  fiberMag_i       [FLOAT]
# 15  fiberMag_z       [FLOAT]
# 16  fiberMag_y       [FLOAT]
# 17  fiberMag_j       [FLOAT]
# 18  EXP_TIME         [FLOAT]
# 19  phot-z           [FLOAT]
# 20  QAType           [INTEGER]
# 21  QALambdaMin      [FLOAT]
# 22  QALambdaMax      [FLOAT]
# 23  QAThreshold      [FLOAT]
# 24  QALineFlux       [FLOAT]
# 25  finished         [BOOLEAN]
1417339240840 1 1417339240840 227.808210 67.186511 0 0,0 4 2 0 0 20.526909 99.000000 19.764318 99.000000 99.000000 99.000000 3600.000000 0.000000 1 380.000000 1260.000000 5.000000 5.000000e-17 False 
1417339240865 1 1417339240865 227.649754 67.187659 0 0,0 5 2 0 0 21.242228 99.000000 20.615301 99.000000 99.000000 99.000000 10800.000000 0.000000 1 380.000000 1260.000000 5.000000 5.000000e-17 False 
1417339240941 1 1417339240941 227.550861 67.190356 0 0,0 3 2 0 0 19.812304 99.000000 20.096750 99.000000 99.000000 99.000000 3600.000000 0.000000 1 380.000000 1260.000000 5.000000 5.000000e-17 False 
1417339241014 1 1417339241014 227.850648 67.192083 0 0,0 3 2 0 0 19.825770 99.000000 20.000608 99.000000 99.000000 99.000000 3600.000000 0.000000 1 380.000000 1260.000000 5.000000 5.000000e-17 False 
1417339241049 1 1417339241049 227.688931 67.194260 0 0,0 2 2 0 0 18.717443 99.000000 17.817249 99.000000 99.000000 99.000000 1800.000000 0.000000 1 380.000000 1260.000000 5.000000 5.000000e-17 False 
1417339241086 1 1417339241086 227.725551 67.195350 0 0,0 4 2 0 0 20.250844 99.000000 19.557460 99.000000 99.000000 99.000000 3600.000000 0.000000 1 380.000000 1260.000000 5.000000 5.000000e-17 False 
1417339241497 1 1417339241497 227.880622 67.204135 0 0,0 3 2 0 0 19.538832 99.000000 18.671929 99.000000 99.000000 99.000000 3600.000000 0.000000 1 380.000000 1260.000000 5.000000 5.000000e-17 False 
1417339208967 1 1417339208967 227.856639 67.206034 0 0,0 5 2 0 0 21.319215 99.000000 20.636370 99.000000 99.000000 99.000000 10800.000000 0.000000 1 380.000000 1260.000000 5.000000 5.000000e-17 False 
1417339209058 1 1417339209058 227.614035 67.207962 0 0,0 5 2 0 0 21.240708 99.000000 20.584295 99.000000 99.000000 99.000000 10800.000000 0.000000 1 380.000000 1260.000000 5.000000 5.000000e-17 False 
1417339241910 1 1417339241910 227.682098 67.214395 0 0,0 2 2 0 0 18.174609 99.000000 17.089931 99.000000 99.000000 99.000000 1800.000000 0.000000 1 380.000000 1260.000000 5.000000 5.000000e-17 False 
1417339242145 1 1417339242145 227.767628 67.219476 0 0,0 4 2 0 0 20.270363 99.000000 19.522425 99.000000 99.000000 99.000000 3600.000000 0.000000 1 380.000000 1260.000000 5.000000 5.000000e-17 False 
1417339209850 1 1417339209850 227.764889 67.222821 0 0,0 5 2 0 0 21.080686 99.000000 20.370790 99.000000 99.000000 99.000000 10800.000000 0.000000 1 380.000000 1260.000000 5.000000 5.000000e-17 False 
1417339242373 1 1417339242373 227.972645 67.223901 0 0,0 3 2 0 0 19.064737 99.000000 18.121230 99.000000 99.000000 99.000000 3600.000000 0.000000 1 380.000000 1260.000000 5.000000 5.000000e-17 False 
1417339242389 1 1417339242389 227.866679 67.225593 0 0,0 3 2 0 0 19.637646 99.000000 18.746811 99.000000 99.000000 99.000000 3600.000000 0.000000 1 380.000000 1260.000000 5.000000 5.000000e-17 False 
1417339242532 1 1417339242532 227.659145 67.227597 0 0,0 2 2 0 0 18.060338 99.000000 17.008102 99.000000 99.000000 99.000000 1800.000000 0.000000 1 380.000000 1260.000000 5.000000 5.000000e-17 False 
1417339242935 1 1417339242935 227.523540 67.236605 0 0,0 4 2 0 0 20.885492 99.000000 20.122509 99.000000 99.000000 99.000000 3600.000000 0.000000 1 380.000000 1260.000000 5.000000 5.000000e-17 False 
1417339242890 1 1417339242890 227.874054 67.236828 0 0,0 5 2 0 0 21.834273 99.000000 21.152423 99.000000 99.000000 99.000000 10800.000000 0.000000 1 380.000000 1260.000000 5.000000 5.000000e-17 False 
1417339243134 1 1417339243134 227.509300 67.240315 0 0,0 5 2 0 0 21.492744 99.000000 20.827915 99.000000 99.000000 99.000000 10800.000000 0.000000 1 380.000000 1260.000000 5.000000 5.000000e-17 False 
1417339211002 1 1417339211002 227.730518 67.241708 0 0,0 4 2 0 0 20.811522 99.000000 20.107181 99.000000 99.000000 99.000000 3600.000000 0.000000 1 380.000000 1260.000000 5.000000 5.000000e-17 False 
1417339243617 1 1417339243617 227.525867 67.248238 0 0,0 3 2 0 0 19.189819 99.000000 19.613719 99.000000 99.000000 99.000000 3600.000000 0.000000 1 380.000000 1260.000000 5.000000 5.000000e-17 False 
