Dot centers and radii:
865: -6.9282 38.35 1.375
866: -13.8564 34.35 1.375
867: -13.8564 42.35 1.375
868: -20.7846 38.35 1.375
869: -20.7846 46.35 1.375
870: -27.7128 42.35 1.375
871: -27.7128 50.35 1.375
872: -34.641 46.35 1.375
873: -34.641 54.35 1.375
874: -41.5692 50.35 1.375
875: -41.5692 58.35 1.375
876: -48.4974 54.35 1.375
877: -48.4974 62.35 1.375
878: -55.4256 58.35 1.375
879: -55.4256 66.35 1.375
880: -62.3538 62.35 1.375
881: -62.3538 70.35 1.375
882: -69.282 66.35 1.375
883: -69.282 74.35 1.375
884: -76.2102 70.35 1.375
885: -76.2102 78.35 1.375
886: -83.1384 74.35 1.375
887: -83.1384 82.35 1.375
888: -90.0666 78.35 1.375
889: -90.0666 86.35 1.375
890: -96.9948 82.35 1.375
891: -96.9948 90.35 1.375
892: -103.923 86.35 1.375
893: -103.923 94.35 1.375
894: -110.851 90.35 1.375
895: -110.851 98.35 1.375
896: -117.779 94.35 1.375
897: -117.779 102.35 1.375
898: -124.708 98.35 1.375
899: -124.708 106.35 1.375
900: -131.636 102.35 1.375
901: -131.636 110.35 1.375
902: -138.564 106.35 1.375
903: -138.564 114.35 1.375
904: -145.492 110.35 1.375
905: -145.492 118.35 1.375
906: -152.42 114.35 1.375
907: -152.42 122.35 1.375
908: -159.349 118.35 1.375
909: -159.349 126.35 1.375
910: -166.277 122.35 1.375
911: -166.277 130.35 1.375
912: -173.205 126.35 1.375
913: 34.641 22.35 1.375
914: 34.641 30.35 1.375
915: 27.7128 26.35 1.375
916: 27.7128 34.35 1.375
917: 20.7846 30.35 1.375
918: 20.7846 38.35 1.375
919: 13.8564 34.35 1.375
920: 13.8564 42.35 1.375
921: 6.9282 38.35 1.375
922: 6.9282 46.35 1.375
923: 0 42.35 1.375
924: 0 50.35 1.375
925: -6.9282 46.35 1.375
926: -6.9282 54.35 1.375
927: -13.8564 50.35 1.375
928: -13.8564 58.35 1.375
929: -20.7846 54.35 1.375
930: -20.7846 62.35 1.375
931: -27.7128 58.35 1.375
932: -27.7128 66.35 1.375
933: -34.641 62.35 1.375
934: -34.641 70.35 1.375
935: -41.5692 66.35 1.375
936: -41.5692 74.35 1.375
937: -48.4974 70.35 1.375
938: -48.4974 78.35 1.375
939: -55.4256 74.35 1.375
940: -55.4256 82.35 1.375
941: -62.3538 78.35 1.375
942: -62.3538 86.35 1.375
943: -69.282 82.35 1.375
944: -69.282 90.35 1.375
945: -76.2102 86.35 1.375
946: -76.2102 94.35 1.375
947: -83.1384 90.35 1.375
948: -83.1384 98.35 1.375
949: -90.0666 94.35 1.375
950: -90.0666 102.35 1.375
951: -96.9948 98.35 1.375
952: -96.9948 106.35 1.375
953: -103.923 102.35 1.375
954: -103.923 110.35 1.375
955: -110.851 106.35 1.375
956: -110.851 114.35 1.375
957: -117.779 110.35 1.375
958: -117.779 118.35 1.375
959: -124.708 114.35 1.375
960: -124.708 122.35 1.375
961: -131.636 118.35 1.375
962: -131.636 126.35 1.375
963: -138.564 122.35 1.375
964: -138.564 130.35 1.375
965: -145.492 126.35 1.375
966: -145.492 134.35 1.375
967: -152.42 130.35 1.375
968: -152.42 138.35 1.375
969: -159.349 134.35 1.375
970: 48.4974 30.35 1.375
971: 48.4974 38.35 1.375
972: 41.5692 34.35 1.375
973: 41.5692 42.35 1.375
974: 34.641 38.35 1.375
975: 34.641 46.35 1.375
976: 27.7128 42.35 1.375
977: 27.7128 50.35 1.375
978: 20.7846 46.35 1.375
979: 20.7846 54.35 1.375
980: 13.8564 50.35 1.375
981: 13.8564 58.35 1.375
982: 6.9282 54.35 1.375
983: 6.9282 62.35 1.375
984: 0 58.35 1.375
985: 0 66.35 1.375
986: -6.9282 62.35 1.375
987: -6.9282 70.35 1.375
988: -13.8564 66.35 1.375
989: -13.8564 74.35 1.375
990: -20.7846 70.35 1.375
991: -20.7846 78.35 1.375
992: -27.7128 74.35 1.375
993: -27.7128 82.35 1.375
994: -34.641 78.35 1.375
995: -34.641 86.35 1.375
996: -41.5692 82.35 1.375
997: -41.5692 90.35 1.375
998: -48.4974 86.35 1.375
999: -48.4974 94.35 1.375
1000: -55.4256 90.35 1.375
1001: -55.4256 98.35 1.375
1002: -62.3538 94.35 1.375
1003: -62.3538 102.35 1.375
1004: -69.282 98.35 1.375
1005: -69.282 106.35 1.375
1006: -76.2102 102.35 1.375
1007: -76.2102 110.35 1.375
1008: -83.1384 106.35 1.375
1009: -83.1384 114.35 1.375
1010: -90.0666 110.35 1.375
1011: -90.0666 118.35 1.375
1012: -96.9948 114.35 1.375
1013: -96.9948 122.35 1.375
1014: -103.923 118.35 1.375
1015: -103.923 126.35 1.375
1016: -110.851 122.35 1.375
1017: -110.851 130.35 1.375
1018: -117.779 126.35 1.375
1019: -117.779 134.35 1.375
1020: -124.708 130.35 1.375
1021: -124.708 138.35 1.375
1022: -131.636 134.35 1.375
1023: -131.636 142.35 1.375
1024: -138.564 138.35 1.375
1025: -138.564 146.35 1.375
1026: -145.492 142.35 1.375
1027: 62.3538 38.35 1.375
1028: 62.3538 46.35 1.375
1029: 55.4256 42.35 1.375
1030: 55.4256 50.35 1.375
1031: 48.4974 46.35 1.375
1032: 48.4974 54.35 1.375
1033: 41.5692 50.35 1.375
1034: 41.5692 58.35 1.375
1035: 34.641 54.35 1.375
1036: 34.641 62.35 1.375
1037: 27.7128 58.35 1.375
1038: 27.7128 66.35 1.375
1039: 20.7846 62.35 1.375
1040: 20.7846 70.35 1.375
1041: 13.8564 66.35 1.375
1042: 13.8564 74.35 1.375
1043: 6.9282 70.35 1.375
1044: 6.9282 78.35 1.375
1045: 0 74.35 1.375
1046: 0 82.35 1.375
1047: -6.9282 78.35 1.375
1048: -6.9282 86.35 1.375
1049: -13.8564 82.35 1.375
1050: -13.8564 90.35 1.375
1051: -20.7846 86.35 1.375
1052: -20.7846 94.35 1.375
1053: -27.7128 90.35 1.375
1054: -27.7128 98.35 1.375
1055: -34.641 94.35 1.375
1056: -34.641 102.35 1.375
1057: -41.5692 98.35 1.375
1058: -41.5692 106.35 1.375
1059: -48.4974 102.35 1.375
1060: -48.4974 110.35 1.375
1061: -55.4256 106.35 1.375
1062: -55.4256 114.35 1.375
1063: -62.3538 110.35 1.375
1064: -62.3538 118.35 1.375
1065: -69.282 114.35 1.375
1066: -69.282 122.35 1.375
1067: -76.2102 118.35 1.375
1068: -76.2102 126.35 1.375
1069: -83.1384 122.35 1.375
1070: -83.1384 130.35 1.375
1071: -90.0666 126.35 1.375
1072: -90.0666 134.35 1.375
1073: -96.9948 130.35 1.375
1074: -96.9948 138.35 1.375
1075: -103.923 134.35 1.375
1076: -103.923 142.35 1.375
1077: -110.851 138.35 1.375
1078: -110.851 146.35 1.375
1079: -117.779 142.35 1.375
1080: -117.779 150.35 1.375
1081: -124.708 146.35 1.375
1082: -124.708 154.35 1.375
1083: -131.636 150.35 1.375
1084: 76.2102 46.35 1.375
1085: 76.2102 54.35 1.375
1086: 69.282 50.35 1.375
1087: 69.282 58.35 1.375
1088: 62.3538 54.35 1.375
1089: 62.3538 62.35 1.375
1090: 55.4256 58.35 1.375
1091: 55.4256 66.35 1.375
1092: 48.4974 62.35 1.375
1093: 48.4974 70.35 1.375
1094: 41.5692 66.35 1.375
1095: 41.5692 74.35 1.375
1096: 34.641 70.35 1.375
1097: 34.641 78.35 1.375
1098: 27.7128 74.35 1.375
1099: 27.7128 82.35 1.375
1100: 20.7846 78.35 1.375
1101: 20.7846 86.35 1.375
1102: 13.8564 82.35 1.375
1103: 13.8564 90.35 1.375
1104: 6.9282 86.35 1.375
1105: 6.9282 94.35 1.375
1106: 0 90.35 1.375
1107: 0 98.35 1.375
1108: -6.9282 94.35 1.375
1109: -6.9282 102.35 1.375
1110: -13.8564 98.35 1.375
1111: -13.8564 106.35 1.375
1112: -20.7846 102.35 1.375
1113: -20.7846 110.35 1.375
1114: -27.7128 106.35 1.375
1115: -27.7128 114.35 1.375
1116: -34.641 110.35 1.375
1117: -34.641 118.35 1.375
1118: -41.5692 114.35 1.375
1119: -41.5692 122.35 1.375
1120: -48.4974 118.35 1.375
1121: -48.4974 126.35 1.375
1122: -55.4256 122.35 1.375
1123: -55.4256 130.35 1.375
1124: -62.3538 126.35 1.375
1125: -62.3538 134.35 1.375
1126: -69.282 130.35 1.375
1127: -69.282 138.35 1.375
1128: -76.2102 134.35 1.375
1129: -76.2102 142.35 1.375
1130: -83.1384 138.35 1.375
1131: -83.1384 146.35 1.375
1132: -90.0666 142.35 1.375
1133: -90.0666 150.35 1.375
1134: -96.9948 146.35 1.375
1135: -96.9948 154.35 1.375
1136: -103.923 150.35 1.375
1137: -103.923 158.35 1.375
1138: -110.851 154.35 1.375
1139: -110.851 162.35 1.375
1140: -117.779 158.35 1.375
1141: 90.0666 54.35 1.375
1142: 90.0666 62.35 1.375
1143: 83.1384 58.35 1.375
1144: 83.1384 66.35 1.375
1145: 76.2102 62.35 1.375
1146: 76.2102 70.35 1.375
1147: 69.282 66.35 1.375
1148: 69.282 74.35 1.375
1149: 62.3538 70.35 1.375
1150: 62.3538 78.35 1.375
1151: 55.4256 74.35 1.375
1152: 55.4256 82.35 1.375
1153: 48.4974 78.35 1.375
1154: 48.4974 86.35 1.375
1155: 41.5692 82.35 1.375
1156: 41.5692 90.35 1.375
1157: 34.641 86.35 1.375
1158: 34.641 94.35 1.375
1159: 27.7128 90.35 1.375
1160: 27.7128 98.35 1.375
1161: 20.7846 94.35 1.375
1162: 20.7846 102.35 1.375
1163: 13.8564 98.35 1.375
1164: 13.8564 106.35 1.375
1165: 6.9282 102.35 1.375
1166: 6.9282 110.35 1.375
1167: 0 106.35 1.375
1168: 0 114.35 1.375
1169: -6.9282 110.35 1.375
1170: -6.9282 118.35 1.375
1171: -13.8564 114.35 1.375
1172: -13.8564 122.35 1.375
1173: -20.7846 118.35 1.375
1174: -20.7846 126.35 1.375
1175: -27.7128 122.35 1.375
1176: -27.7128 130.35 1.375
1177: -34.641 126.35 1.375
1178: -34.641 134.35 1.375
1179: -41.5692 130.35 1.375
1180: -41.5692 138.35 1.375
1181: -48.4974 134.35 1.375
1182: -48.4974 142.35 1.375
1183: -55.4256 138.35 1.375
1184: -55.4256 146.35 1.375
1185: -62.3538 142.35 1.375
1186: -62.3538 150.35 1.375
1187: -69.282 146.35 1.375
1188: -69.282 154.35 1.375
1189: -76.2102 150.35 1.375
1190: -76.2102 158.35 1.375
1191: -83.1384 154.35 1.375
1192: -83.1384 162.35 1.375
1193: -90.0666 158.35 1.375
1194: -90.0666 166.35 1.375
1195: -96.9948 162.35 1.375
1196: -96.9948 170.35 1.375
1197: -103.923 166.35 1.375
1198: 103.923 62.35 1.375
1199: 103.923 70.35 1.375
1200: 96.9948 66.35 1.375
1201: 96.9948 74.35 1.375
1202: 90.0666 70.35 1.375
1203: 90.0666 78.35 1.375
1204: 83.1384 74.35 1.375
1205: 83.1384 82.35 1.375
1206: 76.2102 78.35 1.375
1207: 76.2102 86.35 1.375
1208: 69.282 82.35 1.375
1209: 69.282 90.35 1.375
1210: 62.3538 86.35 1.375
1211: 62.3538 94.35 1.375
1212: 55.4256 90.35 1.375
1213: 55.4256 98.35 1.375
1214: 48.4974 94.35 1.375
1215: 48.4974 102.35 1.375
1216: 41.5692 98.35 1.375
1217: 41.5692 106.35 1.375
1218: 34.641 102.35 1.375
1219: 34.641 110.35 1.375
1220: 27.7128 106.35 1.375
1221: 27.7128 114.35 1.375
1222: 20.7846 110.35 1.375
1223: 20.7846 118.35 1.375
1224: 13.8564 114.35 1.375
1225: 13.8564 122.35 1.375
1226: 6.9282 118.35 1.375
1227: 6.9282 126.35 1.375
1228: 0 122.35 1.375
1229: 0 130.35 1.375
1230: -6.9282 126.35 1.375
1231: -6.9282 134.35 1.375
1232: -13.8564 130.35 1.375
1233: -13.8564 138.35 1.375
1234: -20.7846 134.35 1.375
1235: -20.7846 142.35 1.375
1236: -27.7128 138.35 1.375
1237: -27.7128 146.35 1.375
1238: -34.641 142.35 1.375
1239: -34.641 150.35 1.375
1240: -41.5692 146.35 1.375
1241: -41.5692 154.35 1.375
1242: -48.4974 150.35 1.375
1243: -48.4974 158.35 1.375
1244: -55.4256 154.35 1.375
1245: -55.4256 162.35 1.375
1246: -62.3538 158.35 1.375
1247: -62.3538 166.35 1.375
1248: -69.282 162.35 1.375
1249: -69.282 170.35 1.375
1250: -76.2102 166.35 1.375
1251: -76.2102 174.35 1.375
1252: -83.1384 170.35 1.375
1253: -83.1384 178.35 1.375
1254: -90.0666 174.35 1.375
1255: 117.779 70.35 1.375
1256: 117.779 78.35 1.375
1257: 110.851 74.35 1.375
1258: 110.851 82.35 1.375
1259: 103.923 78.35 1.375
1260: 103.923 86.35 1.375
1261: 96.9948 82.35 1.375
1262: 96.9948 90.35 1.375
1263: 90.0666 86.35 1.375
1264: 90.0666 94.35 1.375
1265: 83.1384 90.35 1.375
1266: 83.1384 98.35 1.375
1267: 76.2102 94.35 1.375
1268: 76.2102 102.35 1.375
1269: 69.282 98.35 1.375
1270: 69.282 106.35 1.375
1271: 62.3538 102.35 1.375
1272: 62.3538 110.35 1.375
1273: 55.4256 106.35 1.375
1274: 55.4256 114.35 1.375
1275: 48.4974 110.35 1.375
1276: 48.4974 118.35 1.375
1277: 41.5692 114.35 1.375
1278: 41.5692 122.35 1.375
1279: 34.641 118.35 1.375
1280: 34.641 126.35 1.375
1281: 27.7128 122.35 1.375
1282: 27.7128 130.35 1.375
1283: 20.7846 126.35 1.375
1284: 20.7846 134.35 1.375
1285: 13.8564 130.35 1.375
1286: 13.8564 138.35 1.375
1287: 6.9282 134.35 1.375
1288: 6.9282 142.35 1.375
1289: 0 138.35 1.375
1290: 0 146.35 1.375
1291: -6.9282 142.35 1.375
1292: -6.9282 150.35 1.375
1293: -13.8564 146.35 1.375
1294: -13.8564 154.35 1.375
1295: -20.7846 150.35 1.375
1296: -20.7846 158.35 1.375
1297: -27.7128 154.35 1.375
1298: -27.7128 162.35 1.375
1299: -34.641 158.35 1.375
1300: -34.641 166.35 1.375
1301: -41.5692 162.35 1.375
1302: -41.5692 170.35 1.375
1303: -48.4974 166.35 1.375
1304: -48.4974 174.35 1.375
1305: -55.4256 170.35 1.375
1306: -55.4256 178.35 1.375
1307: -62.3538 174.35 1.375
1308: -62.3538 182.35 1.375
1309: -69.282 178.35 1.375
1310: -69.282 186.35 1.375
1311: -76.2102 182.35 1.375
1312: 131.636 78.35 1.375
1313: 131.636 86.35 1.375
1314: 124.708 82.35 1.375
1315: 124.708 90.35 1.375
1316: 117.779 86.35 1.375
1317: 117.779 94.35 1.375
1318: 110.851 90.35 1.375
1319: 110.851 98.35 1.375
1320: 103.923 94.35 1.375
1321: 103.923 102.35 1.375
1322: 96.9948 98.35 1.375
1323: 96.9948 106.35 1.375
1324: 90.0666 102.35 1.375
1325: 90.0666 110.35 1.375
1326: 83.1384 106.35 1.375
1327: 83.1384 114.35 1.375
1328: 76.2102 110.35 1.375
1329: 76.2102 118.35 1.375
1330: 69.282 114.35 1.375
1331: 69.282 122.35 1.375
1332: 62.3538 118.35 1.375
1333: 62.3538 126.35 1.375
1334: 55.4256 122.35 1.375
1335: 55.4256 130.35 1.375
1336: 48.4974 126.35 1.375
1337: 48.4974 134.35 1.375
1338: 41.5692 130.35 1.375
1339: 41.5692 138.35 1.375
1340: 34.641 134.35 1.375
1341: 34.641 142.35 1.375
1342: 27.7128 138.35 1.375
1343: 27.7128 146.35 1.375
1344: 20.7846 142.35 1.375
1345: 20.7846 150.35 1.375
1346: 13.8564 146.35 1.375
1347: 13.8564 154.35 1.375
1348: 6.9282 150.35 1.375
1349: 6.9282 158.35 1.375
1350: 0 154.35 1.375
1351: 0 162.35 1.375
1352: -6.9282 158.35 1.375
1353: -6.9282 166.35 1.375
1354: -13.8564 162.35 1.375
1355: -13.8564 170.35 1.375
1356: -20.7846 166.35 1.375
1357: -20.7846 174.35 1.375
1358: -27.7128 170.35 1.375
1359: -27.7128 178.35 1.375
1360: -34.641 174.35 1.375
1361: -34.641 182.35 1.375
1362: -41.5692 178.35 1.375
1363: -41.5692 186.35 1.375
1364: -48.4974 182.35 1.375
1365: -48.4974 190.35 1.375
1366: -55.4256 186.35 1.375
1367: -55.4256 194.35 1.375
1368: -62.3538 190.35 1.375
1369: 145.492 86.35 1.375
1370: 145.492 94.35 1.375
1371: 138.564 90.35 1.375
1372: 138.564 98.35 1.375
1373: 131.636 94.35 1.375
1374: 131.636 102.35 1.375
1375: 124.708 98.35 1.375
1376: 124.708 106.35 1.375
1377: 117.779 102.35 1.375
1378: 117.779 110.35 1.375
1379: 110.851 106.35 1.375
1380: 110.851 114.35 1.375
1381: 103.923 110.35 1.375
1382: 103.923 118.35 1.375
1383: 96.9948 114.35 1.375
1384: 96.9948 122.35 1.375
1385: 90.0666 118.35 1.375
1386: 90.0666 126.35 1.375
1387: 83.1384 122.35 1.375
1388: 83.1384 130.35 1.375
1389: 76.2102 126.35 1.375
1390: 76.2102 134.35 1.375
1391: 69.282 130.35 1.375
1392: 69.282 138.35 1.375
1393: 62.3538 134.35 1.375
1394: 62.3538 142.35 1.375
1395: 55.4256 138.35 1.375
1396: 55.4256 146.35 1.375
1397: 48.4974 142.35 1.375
1398: 48.4974 150.35 1.375
1399: 41.5692 146.35 1.375
1400: 41.5692 154.35 1.375
1401: 34.641 150.35 1.375
1402: 34.641 158.35 1.375
1403: 27.7128 154.35 1.375
1404: 27.7128 162.35 1.375
1405: 20.7846 158.35 1.375
1406: 20.7846 166.35 1.375
1407: 13.8564 162.35 1.375
1408: 13.8564 170.35 1.375
1409: 6.9282 166.35 1.375
1410: 6.9282 174.35 1.375
1411: 0 170.35 1.375
1412: 0 178.35 1.375
1413: -6.9282 174.35 1.375
1414: -6.9282 182.35 1.375
1415: -13.8564 178.35 1.375
1416: -13.8564 186.35 1.375
1417: -20.7846 182.35 1.375
1418: -20.7846 190.35 1.375
1419: -27.7128 186.35 1.375
1420: -27.7128 194.35 1.375
1421: -34.641 190.35 1.375
1422: -34.641 198.35 1.375
1423: -41.5692 194.35 1.375
1424: -41.5692 202.35 1.375
1425: -48.4974 198.35 1.375
1426: 159.349 94.35 1.375
1427: 159.349 102.35 1.375
1428: 152.42 98.35 1.375
1429: 152.42 106.35 1.375
1430: 145.492 102.35 1.375
1431: 145.492 110.35 1.375
1432: 138.564 106.35 1.375
1433: 138.564 114.35 1.375
1434: 131.636 110.35 1.375
1435: 131.636 118.35 1.375
1436: 124.708 114.35 1.375
1437: 124.708 122.35 1.375
1438: 117.779 118.35 1.375
1439: 117.779 126.35 1.375
1440: 110.851 122.35 1.375
1441: 110.851 130.35 1.375
1442: 103.923 126.35 1.375
1443: 103.923 134.35 1.375
1444: 96.9948 130.35 1.375
1445: 96.9948 138.35 1.375
1446: 90.0666 134.35 1.375
1447: 90.0666 142.35 1.375
1448: 83.1384 138.35 1.375
1449: 83.1384 146.35 1.375
1450: 76.2102 142.35 1.375
1451: 76.2102 150.35 1.375
1452: 69.282 146.35 1.375
1453: 69.282 154.35 1.375
1454: 62.3538 150.35 1.375
1455: 62.3538 158.35 1.375
1456: 55.4256 154.35 1.375
1457: 55.4256 162.35 1.375
1458: 48.4974 158.35 1.375
1459: 48.4974 166.35 1.375
1460: 41.5692 162.35 1.375
1461: 41.5692 170.35 1.375
1462: 34.641 166.35 1.375
1463: 34.641 174.35 1.375
1464: 27.7128 170.35 1.375
1465: 27.7128 178.35 1.375
1466: 20.7846 174.35 1.375
1467: 20.7846 182.35 1.375
1468: 13.8564 178.35 1.375
1469: 13.8564 186.35 1.375
1470: 6.9282 182.35 1.375
1471: 6.9282 190.35 1.375
1472: 0 186.35 1.375
1473: 0 194.35 1.375
1474: -6.9282 190.35 1.375
1475: -6.9282 198.35 1.375
1476: -13.8564 194.35 1.375
1477: -13.8564 202.35 1.375
1478: -20.7846 198.35 1.375
1479: -20.7846 206.35 1.375
1480: -27.7128 202.35 1.375
1481: -27.7128 210.35 1.375
1482: -34.641 206.35 1.375
1483: 173.205 102.35 1.375
1484: 173.205 110.35 1.375
1485: 166.277 106.35 1.375
1486: 166.277 114.35 1.375
1487: 159.349 110.35 1.375
1488: 159.349 118.35 1.375
1489: 152.42 114.35 1.375
1490: 152.42 122.35 1.375
1491: 145.492 118.35 1.375
1492: 145.492 126.35 1.375
1493: 138.564 122.35 1.375
1494: 138.564 130.35 1.375
1495: 131.636 126.35 1.375
1496: 131.636 134.35 1.375
1497: 124.708 130.35 1.375
1498: 124.708 138.35 1.375
1499: 117.779 134.35 1.375
1500: 117.779 142.35 1.375
1501: 110.851 138.35 1.375
1502: 110.851 146.35 1.375
1503: 103.923 142.35 1.375
1504: 103.923 150.35 1.375
1505: 96.9948 146.35 1.375
1506: 96.9948 154.35 1.375
1507: 90.0666 150.35 1.375
1508: 90.0666 158.35 1.375
1509: 83.1384 154.35 1.375
1510: 83.1384 162.35 1.375
1511: 76.2102 158.35 1.375
1512: 76.2102 166.35 1.375
1513: 69.282 162.35 1.375
1514: 69.282 170.35 1.375
1515: 62.3538 166.35 1.375
1516: 62.3538 174.35 1.375
1517: 55.4256 170.35 1.375
1518: 55.4256 178.35 1.375
1519: 48.4974 174.35 1.375
1520: 48.4974 182.35 1.375
1521: 41.5692 178.35 1.375
1522: 41.5692 186.35 1.375
1523: 34.641 182.35 1.375
1524: 34.641 190.35 1.375
1525: 27.7128 186.35 1.375
1526: 27.7128 194.35 1.375
1527: 20.7846 190.35 1.375
1528: 20.7846 198.35 1.375
1529: 13.8564 194.35 1.375
1530: 13.8564 202.35 1.375
1531: 6.9282 198.35 1.375
1532: 6.9282 206.35 1.375
1533: 0 202.35 1.375
1534: 0 210.35 1.375
1535: -6.9282 206.35 1.375
1536: -6.9282 214.35 1.375
1537: -13.8564 210.35 1.375
1538: -13.8564 218.35 1.375
1539: -20.7846 214.35 1.375
1540: 187.061 110.35 1.375
1541: 187.061 118.35 1.375
1542: 180.133 114.35 1.375
1543: 180.133 122.35 1.375
1544: 173.205 118.35 1.375
1545: 173.205 126.35 1.375
1546: 166.277 122.35 1.375
1547: 166.277 130.35 1.375
1548: 159.349 126.35 1.375
1549: 159.349 134.35 1.375
1550: 152.42 130.35 1.375
1551: 152.42 138.35 1.375
1552: 145.492 134.35 1.375
1553: 145.492 142.35 1.375
1554: 138.564 138.35 1.375
1555: 138.564 146.35 1.375
1556: 131.636 142.35 1.375
1557: 131.636 150.35 1.375
1558: 124.708 146.35 1.375
1559: 124.708 154.35 1.375
1560: 117.779 150.35 1.375
1561: 117.779 158.35 1.375
1562: 110.851 154.35 1.375
1563: 110.851 162.35 1.375
1564: 103.923 158.35 1.375
1565: 103.923 166.35 1.375
1566: 96.9948 162.35 1.375
1567: 96.9948 170.35 1.375
1568: 90.0666 166.35 1.375
1569: 90.0666 174.35 1.375
1570: 83.1384 170.35 1.375
1571: 83.1384 178.35 1.375
1572: 76.2102 174.35 1.375
1573: 76.2102 182.35 1.375
1574: 69.282 178.35 1.375
1575: 69.282 186.35 1.375
1576: 62.3538 182.35 1.375
1577: 62.3538 190.35 1.375
1578: 55.4256 186.35 1.375
1579: 55.4256 194.35 1.375
1580: 48.4974 190.35 1.375
1581: 48.4974 198.35 1.375
1582: 41.5692 194.35 1.375
1583: 41.5692 202.35 1.375
1584: 34.641 198.35 1.375
1585: 34.641 206.35 1.375
1586: 27.7128 202.35 1.375
1587: 27.7128 210.35 1.375
1588: 20.7846 206.35 1.375
1589: 20.7846 214.35 1.375
1590: 13.8564 210.35 1.375
1591: 13.8564 218.35 1.375
1592: 6.9282 214.35 1.375
1593: 6.9282 222.35 1.375
1594: 0 218.35 1.375
1595: 0 226.35 1.375
1596: -6.9282 222.35 1.375
1597: 0 -5.65 1.375
1598: 6.9282 -9.65 1.375
1599: 6.9282 -1.65 1.375
1600: 13.8564 -5.65 1.375
1601: 13.8564 2.35 1.375
1602: 20.7846 -1.65 1.375
1603: 20.7846 6.35 1.375
1604: 27.7128 2.35 1.375
1605: 27.7128 10.35 1.375
1606: 34.641 6.35 1.375
1607: 34.641 14.35 1.375
1608: 41.5692 10.35 1.375
1609: 41.5692 18.35 1.375
1610: 48.4974 14.35 1.375
1611: 48.4974 22.35 1.375
1612: 55.4256 18.35 1.375
1613: 55.4256 26.35 1.375
1614: 62.3538 22.35 1.375
1615: 62.3538 30.35 1.375
1616: 69.282 26.35 1.375
1617: 69.282 34.35 1.375
1618: 76.2102 30.35 1.375
1619: 76.2102 38.35 1.375
1620: 83.1384 34.35 1.375
1621: 83.1384 42.35 1.375
1622: 90.0666 38.35 1.375
1623: 90.0666 46.35 1.375
1624: 96.9948 42.35 1.375
1625: 96.9948 50.35 1.375
1626: 103.923 46.35 1.375
1627: 103.923 54.35 1.375
1628: 110.851 50.35 1.375
1629: 110.851 58.35 1.375
1630: 117.779 54.35 1.375
1631: 117.779 62.35 1.375
1632: 124.708 58.35 1.375
1633: 124.708 66.35 1.375
1634: 131.636 62.35 1.375
1635: 131.636 70.35 1.375
1636: 138.564 66.35 1.375
1637: 138.564 74.35 1.375
1638: 145.492 70.35 1.375
1639: 145.492 78.35 1.375
1640: 152.42 74.35 1.375
1641: 152.42 82.35 1.375
1642: 159.349 78.35 1.375
1643: 159.349 86.35 1.375
1644: 166.277 82.35 1.375
1645: 166.277 90.35 1.375
1646: 173.205 86.35 1.375
1647: 173.205 94.35 1.375
1648: 180.133 90.35 1.375
1649: 180.133 98.35 1.375
1650: 187.061 94.35 1.375
1651: 187.061 102.35 1.375
1652: 193.99 98.35 1.375
1653: 193.99 106.35 1.375
1654: 0 -21.65 1.375
1655: 6.9282 -25.65 1.375
1656: 6.9282 -17.65 1.375
1657: 13.8564 -21.65 1.375
1658: 13.8564 -13.65 1.375
1659: 20.7846 -17.65 1.375
1660: 20.7846 -9.65 1.375
1661: 27.7128 -13.65 1.375
1662: 27.7128 -5.65 1.375
1663: 34.641 -9.65 1.375
1664: 34.641 -1.65 1.375
1665: 41.5692 -5.65 1.375
1666: 41.5692 2.35 1.375
1667: 48.4974 -1.65 1.375
1668: 48.4974 6.35 1.375
1669: 55.4256 2.35 1.375
1670: 55.4256 10.35 1.375
1671: 62.3538 6.35 1.375
1672: 62.3538 14.35 1.375
1673: 69.282 10.35 1.375
1674: 69.282 18.35 1.375
1675: 76.2102 14.35 1.375
1676: 76.2102 22.35 1.375
1677: 83.1384 18.35 1.375
1678: 83.1384 26.35 1.375
1679: 90.0666 22.35 1.375
1680: 90.0666 30.35 1.375
1681: 96.9948 26.35 1.375
1682: 96.9948 34.35 1.375
1683: 103.923 30.35 1.375
1684: 103.923 38.35 1.375
1685: 110.851 34.35 1.375
1686: 110.851 42.35 1.375
1687: 117.779 38.35 1.375
1688: 117.779 46.35 1.375
1689: 124.708 42.35 1.375
1690: 124.708 50.35 1.375
1691: 131.636 46.35 1.375
1692: 131.636 54.35 1.375
1693: 138.564 50.35 1.375
1694: 138.564 58.35 1.375
1695: 145.492 54.35 1.375
1696: 145.492 62.35 1.375
1697: 152.42 58.35 1.375
1698: 152.42 66.35 1.375
1699: 159.349 62.35 1.375
1700: 159.349 70.35 1.375
1701: 166.277 66.35 1.375
1702: 166.277 74.35 1.375
1703: 173.205 70.35 1.375
1704: 173.205 78.35 1.375
1705: 180.133 74.35 1.375
1706: 180.133 82.35 1.375
1707: 187.061 78.35 1.375
1708: 187.061 86.35 1.375
1709: 193.99 82.35 1.375
1710: 193.99 90.35 1.375
1711: 0 -37.65 1.375
1712: 6.9282 -41.65 1.375
1713: 6.9282 -33.65 1.375
1714: 13.8564 -37.65 1.375
1715: 13.8564 -29.65 1.375
1716: 20.7846 -33.65 1.375
