Fiber centers:
300: -76.2102 -12
301: -83.1384 -16
302: -76.2102 -20
303: -83.1384 -24
304: -76.2102 -28
305: -83.1384 -32
306: -76.2102 -36
307: -83.1384 -40
308: -76.2102 -44
309: -83.1384 -48
310: -76.2102 -52
311: -83.1384 -56
312: -76.2102 -60
313: -83.1384 -64
314: -76.2102 -68
315: -83.1384 -72
316: -76.2102 -76
317: -83.1384 -80
318: -76.2102 -84
319: -83.1384 -88
320: -76.2102 -92
321: -83.1384 -96
322: -76.2102 -100
323: -83.1384 -104
324: -76.2102 -108
325: -83.1384 -112
326: -76.2102 -116
327: -83.1384 -120
328: -76.2102 -124
329: -83.1384 -128
330: -76.2102 -132
331: -83.1384 -136
332: -76.2102 -140
333: -83.1384 -144
334: -76.2102 -148
335: -83.1384 -152
336: -76.2102 -156
337: -83.1384 -160
338: -76.2102 -164
339: -83.1384 -168
340: -76.2102 -172
341: -83.1384 -176
342: -76.2102 -180
343: -90.0666 52
344: -96.9948 48
345: -90.0666 44
346: -96.9948 40
347: -90.0666 36
348: -96.9948 32
349: -90.0666 28
350: -96.9948 24
351: -90.0666 20
352: -96.9948 16
353: -90.0666 12
354: -96.9948 8
355: -90.0666 4
356: -96.9948 0
357: -90.0666 -4
358: -96.9948 -8
359: -90.0666 -12
360: -96.9948 -16
361: -90.0666 -20
362: -96.9948 -24
363: -90.0666 -28
364: -96.9948 -32
365: -90.0666 -36
366: -96.9948 -40
367: -90.0666 -44
368: -96.9948 -48
369: -90.0666 -52
370: -96.9948 -56
371: -90.0666 -60
372: -96.9948 -64
373: -90.0666 -68
374: -96.9948 -72
375: -90.0666 -76
376: -96.9948 -80
377: -90.0666 -84
378: -96.9948 -88
379: -90.0666 -92
380: -96.9948 -96
381: -90.0666 -100
382: -96.9948 -104
383: -90.0666 -108
384: -96.9948 -112
385: -90.0666 -116
386: -96.9948 -120
387: -90.0666 -124
388: -96.9948 -128
389: -90.0666 -132
390: -96.9948 -136
391: -90.0666 -140
392: -96.9948 -144
393: -90.0666 -148
394: -96.9948 -152
395: -90.0666 -156
396: -96.9948 -160
397: -90.0666 -164
398: -96.9948 -168
399: -90.0666 -172
400: -103.923 60
401: -110.851 56
402: -103.923 52
403: -110.851 48
404: -103.923 44
405: -110.851 40
406: -103.923 36
407: -110.851 32
408: -103.923 28
409: -110.851 24
410: -103.923 20
411: -110.851 16
412: -103.923 12
413: -110.851 8
414: -103.923 4
415: -110.851 0
416: -103.923 -4
417: -110.851 -8
418: -103.923 -12
419: -110.851 -16
420: -103.923 -20
421: -110.851 -24
422: -103.923 -28
423: -110.851 -32
424: -103.923 -36
425: -110.851 -40
426: -103.923 -44
427: -110.851 -48
428: -103.923 -52
429: -110.851 -56
430: -103.923 -60
431: -110.851 -64
432: -103.923 -68
433: -110.851 -72
434: -103.923 -76
435: -110.851 -80
436: -103.923 -84
437: -110.851 -88
438: -103.923 -92
439: -110.851 -96
440: -103.923 -100
441: -110.851 -104
442: -103.923 -108
443: -110.851 -112
444: -103.923 -116
445: -110.851 -120
446: -103.923 -124
447: -110.851 -128
448: -103.923 -132
449: -110.851 -136
450: -103.923 -140
451: -110.851 -144
452: -103.923 -148
453: -110.851 -152
454: -103.923 -156
455: -110.851 -160
456: -103.923 -164
457: -117.779 68
458: -124.708 64
459: -117.779 60
460: -124.708 56
461: -117.779 52
462: -124.708 48
463: -117.779 44
464: -124.708 40
465: -117.779 36
466: -124.708 32
467: -117.779 28
468: -124.708 24
469: -117.779 20
470: -124.708 16
471: -117.779 12
472: -124.708 8
473: -117.779 4
474: -124.708 0
475: -117.779 -4
476: -124.708 -8
477: -117.779 -12
478: -124.708 -16
479: -117.779 -20
480: -124.708 -24
481: -117.779 -28
482: -124.708 -32
483: -117.779 -36
484: -124.708 -40
485: -117.779 -44
486: -124.708 -48
487: -117.779 -52
488: -124.708 -56
489: -117.779 -60
490: -124.708 -64
491: -117.779 -68
492: -124.708 -72
493: -117.779 -76
494: -124.708 -80
495: -117.779 -84
496: -124.708 -88
497: -117.779 -92
498: -124.708 -96
499: -117.779 -100
500: -124.708 -104
501: -117.779 -108
502: -124.708 -112
503: -117.779 -116
504: -124.708 -120
505: -117.779 -124
506: -124.708 -128
507: -117.779 -132
508: -124.708 -136
509: -117.779 -140
510: -124.708 -144
511: -117.779 -148
512: -124.708 -152
513: -117.779 -156
514: -131.636 76
515: -138.564 72
516: -131.636 68
517: -138.564 64
518: -131.636 60
519: -138.564 56
520: -131.636 52
521: -138.564 48
522: -131.636 44
523: -138.564 40
524: -131.636 36
525: -138.564 32
526: -131.636 28
527: -138.564 24
528: -131.636 20
529: -138.564 16
530: -131.636 12
531: -138.564 8
532: -131.636 4
533: -138.564 0
534: -131.636 -4
535: -138.564 -8
536: -131.636 -12
537: -138.564 -16
538: -131.636 -20
539: -138.564 -24
540: -131.636 -28
541: -138.564 -32
542: -131.636 -36
543: -138.564 -40
544: -131.636 -44
545: -138.564 -48
546: -131.636 -52
547: -138.564 -56
548: -131.636 -60
549: -138.564 -64
550: -131.636 -68
551: -138.564 -72
552: -131.636 -76
553: -138.564 -80
554: -131.636 -84
555: -138.564 -88
556: -131.636 -92
557: -138.564 -96
558: -131.636 -100
559: -138.564 -104
560: -131.636 -108
561: -138.564 -112
562: -131.636 -116
563: -138.564 -120
564: -131.636 -124
565: -138.564 -128
566: -131.636 -132
567: -138.564 -136
568: -131.636 -140
569: -138.564 -144
570: -131.636 -148
571: -145.492 84
572: -152.42 80
573: -145.492 76
574: -152.42 72
575: -145.492 68
576: -152.42 64
577: -145.492 60
578: -152.42 56
579: -145.492 52
580: -152.42 48
581: -145.492 44
582: -152.42 40
583: -145.492 36
584: -152.42 32
585: -145.492 28
586: -152.42 24
587: -145.492 20
588: -152.42 16
589: -145.492 12
590: -152.42 8
591: -145.492 4
592: -152.42 0
593: -145.492 -4
594: -152.42 -8
595: -145.492 -12
596: -152.42 -16
597: -145.492 -20
598: -152.42 -24
599: -145.492 -28
600: -152.42 -32
601: -145.492 -36
602: -152.42 -40
603: -145.492 -44
604: -152.42 -48
605: -145.492 -52
606: -152.42 -56
607: -145.492 -60
608: -152.42 -64
609: -145.492 -68
610: -152.42 -72
611: -145.492 -76
612: -152.42 -80
613: -145.492 -84
614: -152.42 -88
615: -145.492 -92
616: -152.42 -96
617: -145.492 -100
618: -152.42 -104
619: -145.492 -108
620: -152.42 -112
621: -145.492 -116
622: -152.42 -120
623: -145.492 -124
624: -152.42 -128
625: -145.492 -132
626: -152.42 -136
627: -145.492 -140
628: -159.349 92
629: -166.277 88
630: -159.349 84
631: -166.277 80
632: -159.349 76
633: -166.277 72
634: -159.349 68
635: -166.277 64
636: -159.349 60
637: -166.277 56
638: -159.349 52
639: -166.277 48
640: -159.349 44
641: -166.277 40
642: -159.349 36
643: -166.277 32
644: -159.349 28
645: -166.277 24
646: -159.349 20
647: -166.277 16
648: -159.349 12
649: -166.277 8
650: -159.349 4
651: -166.277 0
652: -159.349 -4
653: -166.277 -8
654: -159.349 -12
655: -166.277 -16
656: -159.349 -20
657: -166.277 -24
658: -159.349 -28
659: -166.277 -32
660: -159.349 -36
